activity	sp2
Allergenic	Abies balsamea/Actaea pachypoda/Aframomum melegueta/Agava sisalana/Agave americana/Allium cepa/Allium sativum/Alpinia officinarum/Andira araroba/Anemore pulsatilla/Armoracia rusticana/Arnica montana/Artemisia dracunculus/Artemisia vulgaris/Asimina triloba/Auricularia spp./Bertholletia excelsa/Bixa orellana/Brassica juncea/Brassica oleracea/Capsicum spp./Carica papaya/Carum carvi/Cassia fistula/Chlorella spp./Chrysanthemum x/Cichorium endivia/Cinnamomum aromaticum/Cinnamomum verum/Cnicus benedictus/Conyza bonariensis/Curcuma longa/Cymbopogon citratus/Cypripedium spp./Dianthus caryophyllus/Elettaria cardamomum/Erythrophleum suaveolens/Euphorbia cyparissias/Euphorbia tirucallis/Ferula assa-foetida/Ficus carica/Frangula alnus/Gaultheria procumbens/Glycyrrhiza glabra/Harpagophytum procumbens/Hedeoma pulegioides/Hedera helix/Heracleum sphondylium/Hevea brasiliensis/Hippomane mancinella/Humulus lupulus/Hura crepitans/Illicium verum/Indigofera tinctoria/Inula racemosa/Jatropha gossypiifolia/Juniperus Communis/Krameria lappacea/Lactuca virosa/Larix decidua/Larrea tridentata/Laurus nobilis/Lavandula spp./Lawsonia inermis/Leonurus cardiaca/Leucanthemum vulgare/Liatris spicata/Linum usitatissimum/Lycopersicon esculentum/Mentha spicata/Mentha x/Myrciaria dubia/Myristica fragrans/Myroxylon balsamum/Myrtus communis/Nigella sativa/Origanum majorana/Parthenium argentatum/Parthenocissus quinquefolia/Perilla frutescens/Petroselinum crispum/Phoradendron leucarpum/Pilocarpus spp/Pilocarpus spp./Pimenta racemosa/Pimenta rece/Pimpinella anisum/Piper methysticum/Pistacia lentiscus/Plantago ovata/Platycladus orientalis/Podophyllum peltatum/Polygonum aviculare/Polygonum hydropiper/Primula veris/Prosopis juliflora/Prunus dulcis/Ranunculus acris/Ranunculus bulbosus/Ranunculus sceleratus/Rauvlfia tetraphylla/Rauvolfia tetraphylla/Rumex acetosa/Rumex acetosella/Rumex crispus/Ruta graveolens/Saccharomyces cerevisiae/Santalum album/Sassafras albidum/Schinus molle/Schinus terebinthifolius/Sechium edule/Sinapis alba/Solidago virgaurea/Styrax tonkinensis/Tamus communis/Tanacetum parthenium/Taraxacum officinale/Tephrosia virginiana/Theobroma cacao/Thymus vulgaris/Toxicodendron pubescens/Trigonella foenum-graecum/Tropaeolum majus/Tropaeolus majus/Vanilla planifolia/Vataireopsis araroba/Zingiber officinale
Alopecia	Allium sativum/Bixa orellana/C. calisaya/C. officinalis/C. pubescens/Cocos nucifera/Commiphora myrrhea/Mimosa pudica/Moringa oleifera/Myrtus communis/Persea americana/Pimenta recemosa/Sesamum indicum/Theobroma cacao/Trigonella foenum-graecum/Zingiber officinale
Alpha-2-adrenergic agonist	Piper auritum
Alpha-2-adrenergic Inhibitor	Pausinystalia johimbe
Alpha-adrenergic	Ruscus aculeatus
Alpha-adreno inhibitor	Berberis aristata
Alpha-amylase Inhibitor	Amaranthus caudatus/Phaseolus vulgaris/Punica granatum
Alpha-glucosidase inhibitor	Anacardium occidentale/Eucommia ulmodes/Myrcia multiflora
Alpha-mannosidase inhibitor	Ipomoea carnea
Alpha-reductase inhibitor	Epilobium angustifolium/Serenoa repens
