activity	sp2
Dengue	Capparis spinosa
Dental Plaque	Armoracia rusticana
Dentifrice	Acacia farnesiana/Alnus glutinosa/Areca catechu/Calotropis procera/Cassia fistula/Cinchona officinalis/Cinchona pubescens/Cyclanthera pedata/Cymbopogon citratus/Guariacum Sanctum/Mangifera indica/Pimpinella anisum/Rumex aquaticus/Salvia officinalis/Scoparia dulcis/Sesamum indicum/Terminalia chebula/Zanthoxylum armatum
Dentifuge	Hura crepitans/Maclura tinctoria/Thevetia peruviana/Ximenia americana
Deobstruent	Adiantum capillus-veneris/Ailanthus altissima/Ajuga retans/Allium cepa/Althaea officinalis/Angelica sinensis/Areca catechu/Artemisia abrotanum/Artemisia absinthium/Azadirachta indica/Belamcanda chinensis/Berberis aristata/Cassia fistula/Chelidonium majus/Cinnamomum tamala/Cullen corylifolium/Daucus carota/Eclipta prostrata/Erysimum cheiri/Erythroxylum coca/Ferula assa-foetida/Fragaria virginiana/Galium odoratum/Guariacum officinale/Helianthus annuus/Indigofera tinctoria/Ipomoea alba/Juniperus Communis/Juniperus virginiana/Medicago sativa/Melia azedarach/Menyanthes trifoliata/Michelia champaca/Morella cerifera/Morinda citrifolia/Nardostachys grandiflora/Nicotiana tabacum/Paeonia officinalis/Persea americana/Phyllanthus niruri/Piper betle/Piper umbellatum/Plantago major/Polygonum multiflorum/Rubia cordifolia/Rumex aquaticus/Ruscus aculeatus/Senna alata/Senna occidentalis/Tephrosia purpurea/Terminalia arguna/Tetradium ruticarpum/Thalictrum foliolosum/Theobroma cacao/Tinospora cordifolia/Veratrum viride/Withania somnifera
Deodorant	Artemisia ludoviciana/Bursera graveolens/Chlorella spp./Collinsonia canadensis/Commiphora myrrha/Cuscuta americana/Cynara cardunculus/Eucalyptus globulus/Ferula assa-foetida/Ficus carica/Filipendula ulmaria/Fragaria virginiana/Glycyrrhiza glabra/Kalmia latifolia/Larrea tridentata/Matricaria recutita/Mentha spicata/Michelia champaca/Monarda punctata/Myroxylon balsamum/Myrtus communis/Ocimum basilicum/Salvia officinalis/Siparuna guianensis/Styrax benzoin/Syzygium aromaticum/Tanacetum parthenium/Thymus vulgaris/Usnea spp./Zanthoxylum armatum/Ziziphus jujuba
Depilatory	Boswellia sacra/Bursera simaruba/Calotropis gigantea/Calotropis procera/Couroupita guianensis/Euphorbia lathyris/Euphorbia pulcherrima/Hyoscyamus niger/Leucaena leucocephala/Pistacia lentiscus
Depressant	Alpinia galanga/Artemisia absinthium/Bixa orellana/Filipendula ulmaria/Jatropha gossypiifolia/Nicotiana tabacum/Rauvolfia sepentina/Salvia divinorum/Valeriana officinalis
Depression	Apium graveolens/Cinnamomum verum/Crocus sativus/Cunila origanoides/Glycyrrhiza glabra/Zingiber officinale
Depurative	Abrus precatorius/Acanthospermum australe/Acer rubrum/Acrtostaphylos uva-ursi/Actaea racemosa/Adiantum capillus-veneris/Agava sisalana/Agave americana/Agrimonia eupatoria/Akebia quinata/Alnus viridis/Aloe vera/Ambrosia peruviana/Anacardium occidentale/Ananas comosus/Andrographis paniculata/Anemarrhena asphodelioides/Anemopsis californica/Angelica sinensis/Annona muricata/Anthyllis vulneraria/Apium graveolens/Apocynum cannabinum/Aralia nudicaulis/Aralia racemosa/Arctium lappa/Argemone mexicana/Aristolochia clematitis/Aristolochia triangularis/Aristolochia trilobata/Armoracia rusticana/Arrabidiae chica/Artemisia absinthium/Artemisia afra/Asparagus officinalis/Asparagus racemosus/Ayapana triplinervis/Azadirachta indica/Ballota nigra/Baptisia tinctoria/Batis maritima/Bauhinia forficata/Belamcanda chinensis/Bellis perennis/Berberis vulgaris/Bertholletia excelsa/Betula lenta/Betula papyrifera/Betula spp./Bixa orellana/Blainvillea acmella/Boerhavia diffusa/Borago officinalis/Boswellia serrata/Brosimum acutifolium/Bursera graveolens/Bursera simaruba/Buxus sempervirens/Calendula officinalis/Calliandra angustifolia/Callicarpa americana/Calluna vulgaris/Canna indica/Capparis tomentosa/Carica papaya/Casearia sylvestris/Cassia grandis/Catharanthus roseus/Cayaponia tayuya/Ceanothus americanus/Ceiba pentandra/Celastrus paniculatus/Celastrus scandens/Celosia argentea/Centella asiatica/Chamissoa altissima/Chaptalia nutans/Chenopodium vulvaria/Chimaphila spp./Chiococca alba/Chlorella spp./Chrysanthemum x/Cichorium intybus/Cinnamomum verum/Cissampelos pareira/Citrullus colocynthis/Citrus sinensis/Clematis vitalba/Cnicus benedictus/Coccinia grandis/Cochlearia officinalis/Cocos nucifera/Collinsonia canadensis/Comptonia peregrina/Cordia alliodora/Cornus florida/Costus speciosus/Costus spicatus/Crataegus spp./Crescentia cujete/Crithmum maritimum/Culcitium canescens/Curculigo orchioides/Curcuma longa/Curcuma zedoaria/Cymbopogon citratus/Cynara cardunculus/Cytisus scoparius/Daucus carota/Dysphania ambrosioides/Eclipta prostrata/Ephedra nevadensis/Epigaea repens/Equisetum bogotense/Equisetum giganteum/Equisetum hyemale/Eriodictyon californicum/Erysimum cheiri/Erythroxylum coca/Eucommia ulmodes/Eupatorium cannabinum/Eupatorium purpureum/Euterpe oleracea/Fagus grandifolia/Filipendula ulmaria/Fragaria vesca/Fragaria virginiana/Frangula alnus/Frangula purshiana/Fucus vesiculosus/Fumaria officinalis/Galega offininalis/Galium aparine/Galium odoratum/Gaultheria procumbens/Genipa americana/Genista tinctoria/Gillenia stipulatus/Gillenia trifoliata/Glechoma hederacea/Gleditsia triacanthos/Glycyrrhiza glabra/Gomphrena globosa/Guariacum officinale/Guariacum Sanctum/Guazuma ulmifolia/Gypsophila paniculata/Haematoxylum campechianum/Hamamelis virginiana/Hamelia patens/Harpagophytum procumbens/Heimia salicifolia/Heliotropium indicum/Hemerocallis fulva/Hemidesmus indicus/Heracleum sphondylium/Herniaria glabra/Himatanthus sucuuba/Houttuynia cardata/Hydrastis canadensis/Hymenaea courbaril/Hypochaeris sessiliflora/Hyptis verticillata/Ilex paraguariensis/Ilex vommitoria/Indigofera suffruticosa/Inula britannica/Iris versicolor/Jacaranda caucana/Jatropha curcas/Jatropha gossypiifolia/Jatropha macrantha/Juglans cinerea/Juglans nigra/Juglans regia/Juniperus Communis/Justicia adhatoda/Knautia arvensis/Lamium album/Lantana camara/Larix laricina/Larrea tridentata/Ledum groenlandicum/Lemna minor/Lepidium sativum/Linaria vulgaris/Lindera benzoin/Liriodendron tulipifera/Lithospermum erythrorhizon/Lithospermum officinale/Lolium temulentum/Lonicera caprifolium/Lycium chinense/Lycopersicon esculentum/Lycopodium clavatum/Lycopus europaeus/Mahonia aquifolium/Mals domestica/Mansoa alliacea/Maranta arundinacea/Maytenus ilicifolia/Medicago sativa/Melia azedarach/Mentha canadensis/Mentha pulegium/Menyanthes trifoliata/Michelia champaca/Mikania congesta/Mikania micrantha/Mimosa pudica/Mitchella repens/Momordica charantia/Morella cerifera/Morinda citrifolia/Moringa oleifera/Mucuna pruriens/Musa x/Myrrhis odorata/Narcissus psedonarcissus/Nardostachys grandiflora/Nasturtium officinale/Nelumbo nucifera/Nepeta cataria/Neurolaena lobata/Oenothera biennis/Olea europaea/Ononsis spinosa/Ophioglossum vulgatum/Oxalis acetosella/Paeonia officinalis/Panax quinquefolius/Passiflora quadrangularis/Passiflora suberosa/Pastinaca sativa/Pedilanthus tithymaloides/Petiveria alliacea/Peucedanum ostruthium/Peumus boldus/Phaseolus vulgaris/Phlebodium aureum/Phoenix dactylifera/Phyllanthus niruri/Physalis alkekengi/Physalis angulata/Physalis peruviana/Phytolacca americana/Picea glauca/Pimenta dioica/Piper aduncum/Plantago major/Polygala amara/Polygonatum biflorum/Populus sp./Portulaca oleracea/Potentilla reptans/Protium heptaphyllum/Prunella vulgaris/Prunus serotina/Prunus spinosa/Psophocarpus tetragonolobus/Pterocarpus santalinus/Quassia amara/Quillaja saponaria/Raphanus sativus/Rauvolfia caffra/Rhamnus cathartica/Rheum palmatum/Rhododendron ponticum/Ribes nigrum/Rosa centifolia/Rubus idaeus/Rubus spp./Ruellia tuberosa/Rumex acetosa/Rumex acetosella/Rumex aquaticus/Rumex crispus/Sambucus canadensis/Sambucus nigra/Sambucus peruviana/Santalum album/Saponaria officinalis/Saraca indica/Sarcostermma acidum/Sassafras albidum/Saussurea costus/Schinus molle/Schkuhria pinnata/Sclerocarya birrea/Scoparia dulcis/Scrophularia nodosa/Sempervivum tectorum/Senecio aureus/Senecio formosus/Senecio jacobaea/Senna occidentalis/Senna tora/Sida acuta/Sida cordifolia/Silybum marianum/Smilax aristolochiifolia/Solanum dulcamara/Solanum nigrum/Solenostemon scutellarioides/Sonchus oleraceus/Sorbus americana/Sorbus aucuparia/Sorghum bicolor/Spondias purpurea/Stachys officinalis/Stachytarpheta cayennensis/Stachytarpheta jamaicensis/Stellaria media/Stillingia sylvatica/Succisa pratensis/Swertia japonica/Swietenia macrophylla/Synedrella nodiflora/Syzygium cumini/Tabebuia spp./Tagetes erecta/Tanacetum parthenium/Taraxacum officinale/Taxus brevifolia/Taxus sp./Tephrosia purpurea/Thuja occidentalis/Thymus serpyllum/Tribulus terrestris/Trifolium pratense/Tropaeolum majus/Tropaeolus majus/Turnera diffusa/Ulmus rubra/Uncaria tomentosa/Urtica dioica/Vaccinium angustifolia/Valeriana jatamansi/Veratrum viride/Verbena officinalis/Veronica becca/Veronica officinalis/Veronicastrum virginicum/Vinca minor/Viola odorata/Viola tricolor/Vismia spp/Vitis vinifera/Xanthium spinosum/Xanthorhiza simplicissima/Yucca spp/Zanthoxylum armatum/Ziziphus jujuba/Ziziphus mauritiana/Ziziphus spina-christi
Dermabrasive	Sorbus domestica
Dermagenic	Achillea millefolium/Agave americana/Arnica montana/Artemisia ludoviciana/Auricularia spp./Calendula officinalis/Calotropis procera/Centella asiatica/Cypripedium spp./Hedeoma pulegioides/Hippomane mancinella/Hura crepitans/Lactuca virosa/Leucanthemum vulgare/Marrubium vulgare/Mentha spicata/Origanum majorana/Parthenium argentatum/Plumeria rubra/Rumex crispus/Tagetes minuta/Tanacetum parthenium/Tanacetum vulgare/Thespesia populnea/Thymus vulgaris/Tradescantia spathacea
Dermatosis	Allium cepa/Allium sativum/Alpinia officinarum/Bixa orellana/Boswellia sacra/C. calisaya/C. officinalis/C. pubescens/Carum carvi/Cocos nucifera/Commiphora myrrhea/Costus speciosus/Crocus sativus/Cunila origanoides/Curcuma longa/Curcuma zedoaria/Cymbopogon citratus/Elettaria cardamomum/Ferula assa-foetida/Gaultheria procumbens/Glycyrrhiza glabra/Juniperus Communis/Laurus nobilis/Lindera benzoin/Moringa oleifera/Murraya koenigii/Nigella sativa/Persea americana/Pimenta recemosa/Pistacia lentiscus/Prunus dulcis/Sassafras albidum/Schinus terebinthifolius/Sesamum indicum/Syzygium aromaticum/Tamarindus indica/Theobroma cacao/Trigonella foenum-graecum/Vataireopsis araroba/Xylopia aethiopica
Detergent	Agava sisalana/Alnus glutinosa/Andira araroba/Anethum graveolens/Artemisia abrotanum/Ayapana triplinervis/Bixa orellana/Duranta erecta/Hydrastis canadensis/Ipomoea quamoclit/Ligustrum vulgare/Linaria vulgaris/Ophioglossum vulgatum/Quillaja saponaria/Rumex aquaticus/Saponaria officinalis/Senecio jacobaea
Detersive	Azadirachta indica/Ballota nigra/Ptelea trifoliata
Detoxicant	Adiantum capillus-veneris/Adiantum tenerum/Allium sativum/Arctium lappa/Asparagus officinalis/Bassia scoparia/Belamcanda chinensis/Boerhavia diffusa/Brassica oleracea/Camellia sinensis/Capsicum spp./Cayaponia tayuya/Centella asiatica/Chrysanthemum x/Citrus x/Dioscorea bulbifera/Glycyrrhiza glabra/Hibiscus syriacus/Houttuynia cardata/Lithospermum erythrorhizon/Lonicera japonica/Maytenus ilicifolia/Mentha arvensis/Mentha x/Musa x/Myrciaria dubia/Nasturtium officinale/Panax pseudoginseng/Peumus boldus/Polygonum multiflorum/Portulaca oleracea/Rosmarinus officinalis/Rubus spp./Schkuhria pinnata/Scoparia dulcis/Senna occidentalis/Taraxacum officinale/Trachyspermum ammi/Trichosanthes kirilowii/Uncaria tomentosa/Vaccinium angustifolia/Vitex negundo/Zingiber officinale
Deurative	Achillea millefolium
Diabetes	Allium cepa/Allium sativum/Alpinia galanga/Apium graveolens/Armoracia rusticana/Bixa orellana/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Ceratonia siliqua/Cocos nucifera/Commiphora myrrhea/Crocus sativus/Curcuma longa/Cymbopogon citratus/Dipteryx odorata/Eryngium foetidum/Gaultheria procumbens/Glycyrrhiza glabra/Hibiscus sabdariffa/Juniperus Communis/Moringa oleifera/Murraya koenigii/Nigella sativa/Persea americana/Peumus boldus/Pimenta dioica/Prunus dulcis/Sesamum indicum/Tamarindus indica/Theobroma cacao/Trigonella foenum-graecum/Zingiber officinale
Diabetic neuropathy	Capsicum spp.
Diaphoretic	Abelmoschus esculentus/Abies balsamea/Abrus precatorius/Acalypha indica/Acanthospermum australe/Achillea millefolium/Achyrocline satureioides/Aconitum napellus/Acorus calamus/Actaea racemosa/Adiantum capillus-veneris/Ajuga chamaepitys/Akebia quinata/Aleurites moluccana/Alisma plantago-aquatica/Allium cepa/Allium sativum/Allium ursinum/Alnus glutinosa/Aloysia citrodora/Alternanthera pungens/Anacardium occidentale/Anagallis arvensis/Anamirta cocculus/Ananas comosus/Anemopsis californica/Angelica archangelica/Apocynum androsaemifolium/Apocynum cannabinum/Aquilegia vulgaris/Aralia nudicaulis/Aralia racemosa/Aralia spinosa/Arctium lappa/Areca catechu/Argemone mexicana/Arisaema triphyllum/Aristolochia serpentaria/Armoracia rusticana/Artemisia absinthium/Artemisia vulgaris/Arum maculatum/Asclepias syriaca/Asclepias tuberosa/Aspidosperma quebracho-blanco/Asplenium scolopendrium/Ayapana triplinervis/Bassia scoparia/Berberis aristata/Berberis rigidifolia/Berberis vulgaris/Beta vulgaris/Betula lenta/Betula papyrifera/Bidens tripartita/Boerhavia diffusa/Borago officinalis/Boswellia serrata/Brassica juncea/Broussonetia papyrifera/Brunfelsia grandiflora/Brunfelsia uniflora/Bupleurum chinense/Bursera graveolens/Bursera simaruba/Buxus sempervirens/Calamintha nepeta/Calendula officinalis/Calluna vulgaris/Calotropis gigantea/Calotropis procera/Caltha palustris/Canna indica/Capsicum frutescens/Capsicum spp./Carapichea ipecacuanha/Cardiospermum halicacabum/Carex arenaria/Carlina acaulis/Carthamus tinctorius/Casearia sylvestris/Caulophyllum thalictroides/Cedrus deodara/Celastrus paniculatus/Celastrus scandens/Cephalanthus occidentalis/Chamaemelum nobile/Chamaesyce hypericifolia/Chelidonium majus/Chenopodium ambrosioides/Chimaphila spp./Cinnamomum aromaticum/Cinnamomum camphora/Cinnamomum tamala/Cinnamomum verum/Cissampelos pareira/Citrus aurantiifolia/Citrus sinensis/Clematis recta/Clematis vitalba/Cnicus benedictus/Coccinia grandis/Colchicum autumnale/Collinsonia canadensis/Commiphora wightii/Conyza bonariensis/Corallorhiza odontorrhiza/Costus speciosus/Costus spicatus/Crocus sativus/Croton tiglium/Cullen corylifolium/Cuminum cyminum/Cunila origanoides/Cupressus sempervirens/Cymbopogon citratus/Daphne mezereum/Dianthus caryophyllus/Dianthus chinensis/Dicentra canadensis/Dicentra cucullaria/Dioscorea spp./Dioscorea villosa/Dipsacus fullonum/Dipteryx odorata/Dodonaea viscosa/Dorema ammoniacum/Dorstenia contrajerva/Dorstenia contrayerba/Drimys winteri/Dysphania ambrosioides/Ephedra gerardiana/Ephedra spp./Epigaea repens/Equisetum arvense/Equisetum hyemale/Eryngium foetidum/Erythrina fusca/Erythroxylum coca/Eschscholzia californica/Eupatorium cannabinum/Eupatorium perfoliatum/Eupatorium purpureum/Filipendula ulmaria/Foeniculum vulgare/Fumaria officinalis/Galega offininalis/Galium aparine/Galium odoratum/Gelsemium sempervirens/Genista tinctoria/Gillenia trifoliata/Glechoma hederacea/Glycyrrhiza glabra/Gnaphalium obtusifolium/Guaiacum officinale/Guariacum officinale/Guariacum Sanctum/Guazuma ulmifolia/Gypsophila paniculata/Hedeoma pulegioides/Hedera helix/Heimia salicifolia/Heliotropium indicum/Hemidesmus indicus/Hibiscus rosa-sinensis/Hieracium pilosella/Hippobroma longiflora/Hippomane mancinella/Humulus lupulus/Hydrangea arborescens/Hyssopus officinalis/Ilex aquifolium/Ilex guayusa/Ilex opeca/Ilex paraguariensis/Inula helenium/Jacaranda caucana/Jacaranda copaia/Juglans nigra/Juniperus Communis/Juniperus virginiana/Justicia pectoralis/Lactuca virosa/Lantana camara/Larix decidua/Laurus nobilis/Ledum groenlandicum/Ledum palustre/Leonurus cardiaca/Levisticum officinale/Liatris spicata/Ligustrum lucidum/Lilium candidum/Linaria vulgaris/Lindera benzoin/Liquidambar orientalis/Liriodendron tulipifera/Lobaria pulmonaria/Lobelia inflata/Lobelia siphilitica/Lonicera caprifolium/Magnolia virginiana/Mangifera indica/Marrubium vulgare/Matricaria recutita/Melaleuca alternifolia/Melissa officinalis/Menispermum canadense/Mentha canadensis/Mentha longifolia/Mentha pulegium/Mentha spicata/Mentha x/Menyanthes trifoliata/Michelia champaca/Mikania guaco/Mimosa pudica/Monarda didyma/Monarda fistulosa/Monarda punctata/Morella cerifera/Morus alba/Myroxylon balsamum/Nelumbo nucifera/Nepeta cataria/Nigella sativa/Ocimum basilicum/Ocimum campechianum/Ocimum tenuiflorum/Oenanthe aquatica/Origanum majorana/Origanum vulgare/Panax quinquefolius/Papaver rhoeas/Papaver somniferum/Parkinsonia aculeata/Parthenocissus quinquefolia/Passiflora laurifolia/Passiflora suberosa/Paullinia pinnata/Peganum harmala/Perilla frutescens/Petasites hybridus/Petiveria alliacea/Peucedanum ostruthium/Phaseolus vulgaris/Phlebodium aureum/Phragmites australis/Phyllanthus niruri/Picea glauca/Pilocarpus spp/Pilocarpus spp./Pimpinella anisum/Pinellia ternata/Pinus strobus/Piper amalago/Piper auritum/Piper longum/Piper methysticum/Piper nigrum/Piscidia piscipula/Pistacia lentiscus/Plantago major/Pluchea carolinensis/Plumbago Zeylanica/Polemonium reptans/Polygala amara/Polygonum hydropiper/Prunus spinosa/Psychotria ipecacuanha/Pterocarpus santalinus/Pueraria montana/Pulmonaria officinalis/Raphanus sativus/Rhododendron ponticum/Ribes nigrum/Ricinus communis/Rosmarinus officinalis/Rubus idaeus/Rubus spp./Ruellia tuberosa/Rumex acetosa/Rumex acetosella/Rumex aquaticus/Ruscus aculeatus/Ruta graveolens/Salvia officinalis/Sambucus canadensis/Sambucus ebulus/Sambucus nigra/Sambucus racemosa/Sanguisorba officinalis/Santalum album/Saponaria officinalis/Sarracenia purpurea/Sassafras albidum/Satureja sp./Scoparia dulcis/Scutellaria lateriflora/Senecio aureus/Senecio jacobaea/Senecio vulgaris/Senna occidentalis/Sida acuta/Silphium laciniatum/Silphium perfoliatum/Silybum marianum/Simarouba glauca/Smilax aristolochiifolia/Solanum dulcamara/Solanum lasiocarpum/Solanum nigrum/Soliago odora/Solidago virgaurea/Spondias purpurea/Stachytarpheta jamaicensis/Succisa pratensis/Swertia japonica/Symplocarpus foetidus/Tagetes erecta/Tagetes minuta/Tagetes patla/Tagetes pusilla/Tamarindus indica/Tanacetum vulgare/Taraxacum officinale/Taxus baccta/Taxus brevifolia/Taxus canadensis/Taxus sp./Tephrosia purpurea/Tephrosia virginiana/Terminalia catappa/Teucrium canadense/Teucrium chamaedrys/Teucrium polium/Teucrium scordium/Teucrium scorodonia/Thuja occidentalis/Thymus vulgaris/Tilia spp./Toxicodendron pubescens/Trachyspermum ammi/Trilisa odoratissima/Tsuga canadensis/Tussilago farfara/Tylophora indica/Ulmus minor/Veratrum album/Veratrum viride/Verbena officinalis/Veronica officinalis/Veronicastrum virginicum/Vetiveria zizanioides/Viburnum prunifolium/Vincetoxicum hirundinaria/Viola odorata/Viola tricolor/Vitex negundo/Wasabia japonica/Xanthium spinosum/Xanthium strumarium/Zanthoxylum armatum/Zanthoxylum clava-herculis/Zanthoxylum spp./Zingiber officinale/Ziziphus mauritiana
Diaphragmosis	Cinnamomum aromaticum/Elettaria cardamomum/Gaultheria procumbens
Diarrhea	Allium sativum/Alpinia galanga/Alpinia officinarum/Amomum aromaticum/Amomum subulatum/Bixa orellana/C. calisaya/C. officinalis/C. pubescens/Capparis spinosa/Capsicum spp./Carum carvi/Ceratonia siliqua/Cinnamomum aromaticum/Cinnamomum verum/Commiphora myrrhea/Curcuma longa/Cymbopogon citratus/Elettaria cardamomum/Eryngium foetidum/Ferula assa-foetida/Gaultheria procumbens/Glycyrrhiza glabra/Hippomane mancinella/Juniperus Communis/Murraya koenigii/Myristica fragrans/Myrtus communis/Nigella sativa/Osmorhiza spp./Persea americana/Pimenta dioica/Pimenta recemosa/Piper nigrum/Pistacia lentiscus/Rhus coriaria/Sassafras albidum/Schinus terebinthifolius/Sesamum indicum/Syzygium aromaticum/Tamarindus indica/Theobroma cacao/Trigonella foenum-graecum/Zingiber officinale
Digestive	Acacia catechu/Achyranthes aspera/Achyrocline satureioides/Acorus calamus/Aegle marmelos/Agathosma betulina/Agave americana/Albizia julibrissin/Allium sativum/Allium schoenoprasum/Aloe vera/Aloysia citriodora/Aloysia citrodora/Alpinia galanga/Anacardium occidentale/Ananas comosus/Anethum graveolens/Angelica archangelica/Angostura officinalis/Apium graveolens/Arctium lappa/Areca catechu/Aristolochia serpentaria/Armoracia rusticana/Artemisia absinthium/Artemisia sodiroii/Asclepias incarnata/Asclepias tuberosa/Aspidosperma excelsum/Avena sativa/Ayapana triplinervis/Baccharis articulata/Berberis rigidifolia/Bixa orellana/Blainvillea acmella/Boswellia sacra/Brassica juncea/Byrsonima crassifolia/Calluna vulgaris/Calophyllum brasiliense/Calotropis gigantea/Calotropis procera/Capraria biflora/Capsicum frutescens/Capsicum spp./Carapichea ipecacuanha/Carica papaya/Carum carvi/Cayaponia tayuya/Centella asiatica/Ceratonia siliqua/Cetraria islandica/Chamaemelum nobile/Chromolaena odorata/Chrysanthemum x/Cichorium intybus/Cinchona officinalis/Cinchona pubescens/Cinnamomum aromaticum/Citrus reticulata/Citrus sinensis/Codonopsis spp./Coffea arabica/Cola acuminata/Cola spp./Commiphora myrrha/Commiphora wightii/Coptis spp./Coriandrum sativum/Cornus florida/Costus speciosus/Crataegus spp./Crithmum maritimum/Crocus sativus/Croton eluteria/Cucumis melo/Cuminum cyminum/Curcuma longa/Cuscuta americana/Cymbopogon citratus/Cynara cardunculus/Cyperus articulatus/Dioscorea spp./Drimys winteri/Dysphania ambrosioides/Elettaria cardamomum/Eryngium foetidum/Erythroxylum coca/Eugenia uniflora/Ferula assa-foetida/Ficus carica/Foeniculum vulgare/Fragaria virginiana/from Ananas/Galanthus nivalis/Galium odoratum/Genipa americana/Geum rivale/Geum urbanum/Guazuma ulmifolia/Harpagophytum procumbens/Hedeoma pulegioides/Hibiscus sabdariffa/Hordeum vulgare/Humulus lupulus/Hydrastis canadensis/Hymenaea courbaril/Hypericum perforatum/Ilex guayusa/Ilex paraguariensis/Illicium verum/Impatiens capensis/Inula helenium/Juglans regia/Juniperus Communis/Justicia pectoralis/Lantana camara/Laurus nobilis/Lavandula spp./Linum usitatissimum/Lippia alba/Luma chequen/Lycopersicon esculentum/Maclura tinctoria/Mahonia aquifolium/Mals domestica/Mammea americana/Maranta arundinacea/Marrubium vulgare/Matricaria recutita/Medicago sativa/Melilotus offinalis/Melissa officinalis/Mentha aquatica/Mentha pulegium/Mentha spicata/Mentha x/Menyanthes trifoliata/Mirabilis jalapa/Momordica charantia/Monarda didyma/Myristica fragrans/Myroxylon balsamum/Myrrhis odorata/Nasturtium officinale/Nepeta cataria/Neurolaena lobata/Nigella sativa/Ocimum basilicum/Oenanthe aquatica/Origanum majorana/Origanum vulgare/Oryza sativa/Passiflora incarnata/Paullinia cupana/Petroselinum crispum/Peumus boldus/Phyllanthus niruri/Phytolacca americana/Picea glauca/Picrama excelsa/Picrasma excelsa/Pimenta dioica/Pimenta racemosa/Pimenta rece/Piper aduncum/Piper amalago/Piper auritum/Piper betle/Piper nigrum/Piper umbellatum/Plantago major/Plantago ovata/Pluchea carolinensis/Plumbago Zeylanica/Portulaca oleracea/Prunus domestica/Prunus serotina/Psidium guajava/Psychotria ipecacuanha/Quassia amara/Raphanus sativus/Ribes nigrum/Robinia pseudoacacia/Rosmarinus officinalis/Rubia tinctorum/Rumex aquaticus/Salvia sclarea/Santolina chamaecyparissus/Satureja sp./Schinus terebinthifolius/Schisandra chinensis/Schkuhria pinnata/Scoparia dulcis/Serenoa repens/Sida acuta/Sida cordifolia/Silybum marianum/Simarouba amara/Sinapis alba/Smilax aristolochiifolia/Solanum lasiocarpum/Solanum torvum/Soliago odora/Solidago virgaurea/Sonchus oleraceus/Sorbus americana/Spigelia marilandica/Stachys officinalis/Stachytarpheta jamaicensis/Stellaria media/Stillingia sylvatica/Syzygium aromaticum/Tabebuia spp./Tagetes lucida/Tagetes minuta/Tagetes pusilla/Tamarindus indica/Tanacetum parthenium/Tanacetum vulgare/Taraxacum officinale/Terminalia chebula/Teucrium chamaedrys/Theobroma cacao/Thymus vulgaris/Trigonella foenum-graecum/Tropaeolum majus/Turnera diffusa/Tynanthus panurensis/Valeriana officinalis/Vanilla planifolia/Verbena officinalis/Veronica officinalis/Vincetoxicum hirundinaria/Viscum album/Xanthium spinosum/Zingiber officinale/Ziziphus mauritiana
Dilator	Ammi visnaga
Diphoretic	Fraxinus excelsior
Diphtheria	Allium sativum/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Glycyrrhiza glabra
Discutient	Adiantum capillus-veneris/Albizia julibrissin/Anacardium occidentale/Ananas comosus/Antennaria dioica/Artemisia absinthium/Azadirachta indica/Bellis perennis/Cochlearia officinalis/Fragaria vesca/Mammea americana/Nicotiana tabacum/Panax pseudoginseng/Prosopis juliflora/Prunus dulcis/Ricinus communis/Rumex crispus/Triticum aestivum/Vitex negundo
Distemper	Osmorhiza spp.
