Aconitum carmichaeli Debx	
Aconitum carmichaeli cv.	
Aconitum carmichaelii	85363
Aconitum chasmanthum	2486370
Aconitum chasmanthum Stapf.	
Aconitum chinense	
Aconitum columbianum	157970
Aconitum contortum	226102
Aconitum coreanum	662772
Aconitum crassicaule	
Aconitum czekanovskyi	
Aconitum deiphinifolium	
Aconitum delphinifolium	
Aconitum episcopale	226106
Aconitum excelsum	
Aconitum excelsum Reichb.	
Aconitum falconeri	
Aconitum faurei	
Aconitum ferox	50866
Aconitum finetianum	219064
Aconitum finetianum Hand-Mazz	
Aconitum finetianum Hand-Mazz.	
Aconitum firmum	1496655
Aconitum fischeri	1111064
Aconitum fissum subsp. anatolicum	
Aconitum flavum	286045
Aconitum forrestii	219065
Aconitum forrrestii	
Aconitum franchetll	
Aconitum gekanovskyi	
Aconitum geniculatum	632155
Aconitum grossedentatum	1850455
Aconitum hakusanense	246710
Aconitum hemslevanum Protiz var.pengshinese W.J.Zhang	
Aconitum hemsleyanum PRITZ	
Aconitum hemsleyanum var. circinacum	
Aconitum hemsleyanum var. circinatum	632157
Aconitum hemsleyanum var.circinatum	
Aconitum hemsleyanum var.leucanthus	
Aconitum heterophylloides	
Aconitum heterophyllum	279769
Aconitum heterophyllum Wall.	
Aconitum ibukiense Nakai	
Aconitum japonica var.montanum	
Aconitum japonicum	1478108
Aconitum japonicum subsp. ibukiense	1977834
Aconitum jinyangense	632160
Aconitum kamtschaticum	
Aconitum karacolicum	
Aconitum karakolicum	286046
Aconitum karakolicum Rap.	
Aconitum kirinense	1961225
Aconitum kirinense Nakai	
Aconitum kojimae Ohwi var.lassiocarpium	
Aconitum kongboense	632161
Aconitum kusnezoffi	
Aconitum kusnezoffii	239685
Aconitum kusnezoffii Reichb.	
Aconitum laeve	1960954
Aconitum leave	
Aconitum legendrei	286042
Aconitum leucostomum	632164
Aconitum leucostomum Worosch.	
Aconitum liangshanium	
Aconitum lilijestrandii	
Aconitum liljestrandii	219067
Aconitum longtounens T.L.Ming.	
Aconitum lucidusculum	1478110
Aconitum lucidusculum Nakai.	
Aconitum lycoctonum	112589
Aconitum lycoctonum subsp. vulparia	516012
Aconitum majimai	
Aconitum makchangense	
Aconitum mandschuricum	
Aconitum manshuricum	
Aconitum miyabei	
Aconitum miyabei Nakai	
Aconitum monticola	1045225
Aconitum nagarum	50874
Aconitum nagarum var.heterotrichum	
Aconitum napellus	112591
Aconitum napellus L.ssp.vulgare	
Aconitum napellus ssp.neomontanum Wulfen Gayer	
