source,target
C00007328,9380
C00030167,9380
C00000010,9380
C00001771,9385
C00003756,9388
C00003370,9390
C00003371,9394
C00017872,9414
C00001984,9425
C00002864,9427
C00001521,9439
C00001009,9443
C00002939,9454
C00002266,9455
C00000861,9457
C00003193,9477
C00001774,9485
C00018809,9497
C00001921,9512
C00001923,9515
C00003556,9517
C00001924,9519
C00001296,9539
C00018212,9542
C00003065,9583
C00001207,9592
C00025557,9593
C00002304,9593
C00001324,9594
C00003205,2425
C00001524,2431
C00002128,2435
C00002129,2436
C00001356,6211
C00001373,6253
C00001376,6259
C00003626,6345
C00003627,6346
C00001287,6347
C00003159,6350
C00003775,6357
C00003312,6360
C00001594,6368
C00002960,6373
C00003002,6376
C00001650,6378
C00002003,6383
C00002433,6385
C00002098,6388
C00003314,6390
C00003161,6401
C00002659,6403
C00003532,6405
C00002179,6406
C00001256,6408
C00001744,6430
C00003315,6449
C00019581,7125
C00002759,6856
C00001656,7469
C00001890,7480
C00001892,7482
C00001724,4562
C00002617,8173
C00002298,8176
C00000706,8177
C00002618,8178
C00002894,8179
C00002354,8182
C00003783,8183
C00001758,8188
C00003542,8194
C00003172,8196
C00001903,8208
C00002356,8209
C00003469,8211
C00002493,8213
C00000993,8222
C00001319,8223
C00003174,8236
C00002066,8241
C00003055,8244
C00002357,8253
C00002107,8264
C00003471,8265
C00003473,8269
C00000634,8272
C00000264,8278
C00000275,8279
C00002620,8281
C00003665,8286
C00003175,8305
C00003012,8306
C00002562,8329
C00000278,8330
C00023773,8334
C00003668,8334
C00001604,8341
C00003475,8343
C00016804,8353
C00001606,8367
C00002611,6451
C00003658,6453
C00003737,10213
C00003111,10216
C00003112,10217
C00002242,10219
C00003118,10221
C00002393,10222
C00001216,10275
C00000163,10278
C00003130,10280
C00003153,10284
C00001951,10322
C00003673,10333
C00001294,10335
C00003203,10341
C00003738,10352
C00002715,10353
C00003116,10359
C00000920,10362
C00003121,10363
C00003242,10364
C00001114,10366
C00002102,7498
C00001580,8402
C00001085,8410
C00002854,8413
C00002594,1729
C00002595,1730
C00002385,1749
C00002536,1867
C00001801,2688
C00001802,2689
C00001273,2698
C00002016,2702
C00002017,2705
C00001803,2707
C00007315,18023
C00028198,18029
C00024644,18029
C00004961,18030
C00007500,18042
C00002069,18043
C00026498,18048
C00007566,18053
C00000394,15655
C00007567,15664
C00019678,15689
C00001312,453
C00002940,479
C00002899,1926
C00002901,1927
C00002730,1945
C00002593,1959
C00002883,5511
C00003432,5513
C00003433,5515
C00001588,5518
C00005690,5525
C00003579,5528
C00018030,5533
C00003434,5542
C00002653,5545
C00003297,5547
C00003138,5550
C00003139,5552
C00025616,5568
C00009125,5570
C00003523,5577
C00001863,5582
C00001412,5583
C00001571,5600
C00002993,5601
C00002994,5602
C00002341,5604
C00002170,5617
C00002172,5620
C00003083,5625
C00002342,5626
C00001864,5629
C00002380,5630
C00000235,5638
C00003530,5639
C00002090,5643
C00002750,5646
C00003142,5649
C00003143,5654
C00001866,5677
C00002476,5679
C00001642,5684
C00003145,5719
C00001049,5721
C00002884,5726
C00003299,5740
C00002344,5746
C00002535,5754
C00002609,5759
C00000588,6720
C00001950,6721
C00003322,6725
C00002548,6728
C00001141,6731
C00003324,6737
C00001746,6739
C00001790,2444
C00016077,2450
C00002310,2452
C00001791,2487
C00001989,2493
C00003600,2497
C00003497,2500
C00001676,2503
C00000937,2507
C00001014,2512
C00003562,2513
C00002869,2520
C00003697,2522
C00001612,2523
C00001682,2532
C00001798,2538
C00002392,2544
C00001559,2548
C00002013,2568
C00002786,2575
C00002787,2578
C00003069,2592
C00003402,2598
C00002908,2606
C00002415,2608
C00002205,2609
C00002790,2614
C00002791,2615
C00001560,2623
C00001561,2626
C00003210,2629
C00001991,2632
C00002449,2671
C00003231,3679
C00003032,3681
C00001028,3684
C00002806,3686
C00002458,3693
C00003509,3700
C00002217,3705
C00003034,3707
C00002284,3713
C00003414,3741
C00002082,3748
C00001587,4700
C00002817,4704
C00003252,4715
C00002153,4722
C00001713,4739
C00002085,4744
C00002738,4745
C00002820,4748
C00002154,4749
C00002155,4750
C00002335,4765
C00002337,4766
C00001637,4768
C00002739,4771
C00000312,4773
C00002821,4774
C00001716,4776
C00001848,4780
C00002823,4783
C00002426,4789
C00001972,4794
C00002919,4807
C00002987,1995
C00002878,4579
C00007228,4581
C00001246,4614
C00002036,4628
C00001036,4630
C00002469,4656
C00003619,4668
C00003748,5760
C00001415,5762
C00001416,5763
C00001417,5764
C00003147,5768
C00001939,5770
C00002173,5792
C00003301,5817
C00003436,5822
C00001999,5823
C00002829,5835
C00001053,5837
C00001741,5852
C00002345,5854
C00001646,5859
C00001286,5861
C00003531,5865
C00003151,5867
C00001647,5890
C00000164,10417
C00003529,10419
C00001127,10423
C00002836,10429
C00002407,10439
C00003183,10441
C00003186,10443
C00001982,10445
C00003199,10448
C00023748,10542
C00003380,10553
C00002905,10556
C00002159,10562
C00001318,10575
C00003061,10577
C00001329,10580
C00003638,10582
C00000832,6468
C00000833,6468
C00003317,6474
C00003318,6478
C00001447,6483
C00003319,6489
C00002400,6505
C00002295,6506
C00001879,6531
C00001881,6536
C00006231,6553
C00001941,6556
C00013027,6560
C00002182,6565
C00002889,6568
C00003749,6570
C00006611,6584
C00002481,6586
C00001943,6589
C00001944,6591
C00001946,6593
C00001947,6595
C00028509,6595
C00002099,6598
C00002349,6610
C00018092,91030
C00002961,6623
C00003003,6624
C00001884,6625
C00002100,6627
C00002183,6629
C00030074,6631
C00002350,6631
C00002185,6632
C00001949,6634
C00001885,6641
C00025880,6642
C00000591,6643
C00000725,6645
C00002702,6657
C00006886,6665
C00003451,6679
C00003164,6692
C00000584,6695
C00003453,6697
C00002227,6700
C00018987,6714
C00025729,4810
C00003261,4834
C00001850,4837
C00001852,4839
C00001450,7506
C00003007,7520
C00001075,7545
C00003721,7567
C00002059,7571
C00003339,7603
C00002486,7607
C00003722,7609
C00001317,7610
C00003585,8588
C00003586,8590
C00002256,8594
C00002258,8596
C00003354,8599
C00002564,8600
C00002565,8602
C00001759,8621
